AAPL,MSI,SBUX,SMA_AAPL,SMA_MSI,SMA_SBUX,EMA_AAPL,EMA_MSI,EMA_SBUX,RSI_AAPL,RSI_MSI,RSI_SBUX
64.7599,54.35,35.965,61.88627857142855,57.74785714285714,34.746785714285714,62.10228686219951,56.714605600742594,34.79242752379952,67.58322802697478,30.804280418215736,64.36113350730729
64.6471,54.83,35.6445,62.14384999999998,57.44642857142858,34.81639285714286,62.44159528057291,56.463324853976914,34.90603718729292,66.77513043029005,34.93176084320038,61.217845766252466
65.2394,55.32,36.74,62.45167142857141,57.14500000000002,34.950678571428575,62.81463590982986,56.31088154011333,35.15056556232053,68.87934911063027,38.936091368560085,67.12750171248017
66.0771,56.02,37.115,62.80983571428569,56.920000000000016,35.11389285714286,63.249631121852545,56.27209733476489,35.412490154011124,71.61722586466536,44.21745234391577,68.87586290114385
67.0642,56.1,36.985,63.210392857142836,56.69000000000001,35.27282142857143,63.75824030560554,56.2491510234629,35.622158133476304,74.46767270198883,44.804992667674846,67.5348796790725
66.4642,56.4,36.4,63.566921428571405,56.47428571428573,35.437107142857144,64.11903493152481,56.26926422033451,35.72587038234613,69.8741146984649,47.05697031034378,61.71218017344703
66.4256,56.48,36.095,63.90591428571427,56.26857142857144,35.569607142857144,64.42657694065484,56.297362324289914,35.77508766469998,69.57676575622358,47.670121285115876,58.862703482007326
65.8585,57.13,36.47,64.27387142857141,56.07428571428573,35.71782142857143,64.6175000152342,56.408380681051256,35.867742642739984,65.18769359665158,52.48512147884777,61.23284491683078
64.9214,57.36,36.4,64.56101428571426,55.89500000000002,35.85282142857143,64.65802001320297,56.53526325691109,35.93871029037465,58.608399230124334,54.09468712914902,60.53175577273653
66.7656,57.44,36.465,65.05457857142856,55.71357142857145,36.04103571428572,64.93903067810925,56.65589482265627,36.00888225165803,65.90210215946112,54.66987905892072,60.978534392305185
69.9385,57.84,36.32,65.55519285714284,55.84214285714288,36.25639285714286,65.60562658769469,56.81377551296877,36.05036461810363,74.29462952364294,57.53495482031623,59.364145630070865
71.2142,57.71,35.925,66.1674357142857,56.08928571428574,36.387821428571435,66.35343637600207,56.933272111239596,36.03364933568981,76.77026279931864,56.28973371960969,55.085720332807774
71.1299,56.96,35.37,66.74825,56.28214285714289,36.294250000000005,66.99029819253512,56.936835829740986,35.945162757597835,76.24768278521628,49.61775842206848,49.66912026989059
71.7614,57.15,35.355,67.3047857142857,56.5064285714286,36.232107142857146,67.6264451001971,56.965257719108855,35.866474389918125,77.48413913422772,51.19594436211503,49.527372581168386
72.5342,57.09,35.145,67.86009285714285,56.70214285714288,36.17353571428572,68.28081242017082,56.98189002322768,35.77027780459571,78.92965509359331,50.65631372349869,47.484261743230284
71.5814,57.05,35.33,68.35539999999999,56.86071428571431,36.151071428571434,68.72089076414804,56.99097135346398,35.71157409731628,72.73000379363789,50.27584944923219,49.4621445889782
71.7656,56.06,35.3565,68.82155714285713,56.913571428571444,36.05225,69.12685199559496,56.86684183966879,35.664230884340775,73.16877698827207,41.88994392375369,49.7540692690524
71.8514,56.33,35.95,69.23400714285712,56.935714285714305,35.96903571428572,69.49012506284896,56.79526292771295,35.70233343309534,73.38360288011529,44.603781913164894,55.89831678361394
71.5742,56.74,35.985,69.55614999999999,56.98142857142859,35.89760714285715,69.76800172113576,56.78789453735122,35.740022308682626,71.39474824231516,48.534346111147045,56.23817302985115
